,akan_sentence,zero_shot-direct-llama-3.1-70b-instruct-llm_label,zero_shot-direct-llama-3.1-70b-instruct-llm_sentence,zero_shot-direct-llama-3.3-70b-instruct-llm_label,zero_shot-direct-llama-3.3-70b-instruct-llm_sentence,few_shot-direct-llama-3.1-70b-instruct-llm_label,few_shot-direct-llama-3.1-70b-instruct-llm_sentence,few_shot-direct-llama-3.3-70b-instruct-llm_label,few_shot-direct-llama-3.3-70b-instruct-llm_sentence
0,Amerika atubrafo a wodi kan no duu hɔ wɔ afeha a ɛto so 17 no mu.,0,The first American colonists arrived in the 17th century.,2,America was first colonized in the 17th century.,0,The first American colonists arrived in the 17th century.,0,The first American colonists arrived in the 17th century.
1,Anadwo biara ɔfrɛ no.,0,He calls her every night.,3,He calls her every night.,1,He calls him every night.,1,He calls him every night.
2,"Anigyesɛm ne sɛ, hyɛn no mufo biara anhaw.",1," Luckily, none of the passengers were hurt.",1," Luckily, none of the passengers were hurt.",1," Luckily, none of the passengers were hurt.",1," Luckily, none of the passengers were hurt."
3,"Anɔpa yi, ohyiaa no.",2,He met her this morning.,2,He met her this morning.,2,He met her this morning.,2,He met her this morning.
4,Asamaoh ye nipa kese.,3,Asamoah is an amazing person.,3,Asamoah is an amazing person.,2,Asamoah is wonderful.,3,Asamoah is an amazing person.
5,Asamoah anhu sɛnea na wobu Esi anim animtiaa no.,1,Asamoah didnt see the contempt on Esi's face.,2,Asamoah didnt realize Esi was looking at him with contempt.,2,Asamoah didnt realize Esi was looking at him with contempt.,1,Asamoah didnt see the contempt on Esi's face.
6,Asamoah betumi abua no.,3,Asamoah is able to answer.,3,Asamoah is able to answer.,3,Asamoah is able to answer.,3,Asamoah is able to answer.
7,Asamoah yɛ ɔnokwafo.,1,Asamoah is an honest person.,1,Asamoah is an honest person.,1,Asamoah is an honest person.,1,Asamoah is an honest person.
8,Awarefo no de sika pii na ɛyɛɛ wɔn fie.,1,They spent a fortune decorating their home.,1,They spent a fortune decorating their home.,0,The couple spent a lot of money on furnishing their house.,0,The couple spent a lot of money on furnishing their house.
9,Bere a ade tɔɔ ne so ara pɛ na yɛde no kɔɔ ayaresabea hɔ.,1," As soon as she passed out, we brought her to the clinic.",1," As soon as she passed out, we brought her to the clinic.",1," As soon as she passed out, we brought her to the clinic.",1," As soon as she passed out, we brought her to the clinic."
10,"Bere a Ɔhemmaa no soo nkuruwa no mu no, ɔde guu adaka no mu.",1,He washed the plates and put them in the dishwasher.,1,He washed the plates and put them in the dishwasher.,1,He washed the plates and put them in the dishwasher.,1,He washed the plates and put them in the dishwasher.
11,Bere bɛn na wiase no bɛba awiei?,2,When will the world end?,2,When will the world end?,2,When will the world end?,2,When will the world end?
12,Bɔ mmɔden yɛ saa.,1,Give it a try.,1,Give it a try.,1,Give it a try.,1,Give it a try.
13,Dɛn na wobɛka sɛ ɛsɛ sɛ wokɔ nnwonto no ase?,2,Shall we go to the concert?,2,Shall we go to the concert?,1,Do you want to go to the concert?,1,Do you want to go to the concert?
14,"Efi saa bere no, minni adagyew koraa.",2,I have been free since yesterday.,2,I have been free since yesterday.,2,I have been free since yesterday.,2,I have been free since yesterday.
15,Egye obi na wahu emu biako.,1,Only someone like that would recognize it in another.,1,Only someone like that would recognize it in another.,1,Only someone like that would recognize it in another.,1,Only someone like that would recognize it in another.
16,Esi bɔɔ ne tirim sɛ ɔbɛyɛ ne fie ho mfonini.,1,Esi employed Asamoah to paint her house.,1,Esi employed Asamoah to paint her house.,0,Esi hired Asamoah to paint her house.,1,Esi employed Asamoah to paint her house.
17,"Esiane ahum no nti, hyɛn no antumi amfi po so hyɛn gyinabea hɔ.",1,The storm prevented the ship from leaving port.,1,The storm prevented the ship from leaving port.,1,The storm prevented the ship from leaving port.,2,The ship was unable to depart because of the storm.
18,"Esiane sɛ na m'ani so atan me nti, anka mereyɛ akyere me.",2,Asamoah could have gotten into trouble to help me.,2,Asamoah could have gotten into trouble to help me.,2,Asamoah could have gotten into trouble to help me.,2,Asamoah could have gotten into trouble to help me.
19,Hena na ɔka kyerɛɛ wo sɛ mintumi nnom nsu?,1,Who said I could not swim?,1,Who said I could not swim?,1,Who said I could not swim?,1,Who said I could not swim?
20,Kwaku anyɛ bɔne biara.,1,Kwaku meant no harm.,1,Kwaku meant no harm.,1,Kwaku meant no harm.,1,Kwaku meant no harm.
21,Kwaku dii akɔneaba.,1,Kwaku waved his hand.,1,Kwaku waved his hand.,1,Kwaku waved his hand.,1,Kwaku waved his hand.
22,Kwaku ntumi ntu ntɛm sɛnea Abena betumi ayɛ no.,1,Kwaku is not as fast as Abena.,1,Kwaku is not as fast as Abena.,1,Kwaku is not as fast as Abena.,0,Kwaku can't move as quickly as Abena can.
23,M'ani begye ho sɛ mehu Asamoah bio.,1,I want to see Asamoah again.,1,I want to see Asamoah again.,1,I want to see Asamoah again.,1,I want to see Asamoah again.
24,M'ani gye nhoma akenkan ho.,2,Reading books is something I like.,0,I like reading books.,2,Reading books is something I like.,0,I like reading books.
25,M'ani wɔ me ho so paa.,2,I feel like I am seeing apparitions.,2,I feel like I am seeing apparitions.,2,I feel like I am seeing apparitions.,2,I feel like I am seeing apparitions.
26,Makɔ nea ɛto so abien.,2,I have been to Kyoto twice.,2,I have been to Kyoto twice.,2,I have been to Kyoto twice.,2,I have been to Kyoto twice.
27,Mamfa me ho anto wo so.,2,I didnt hang up the phone on you.,2,I didnt hang up the phone on you.,2,I didnt hang up the phone on you.,2,I didnt hang up the phone on you.
28,Manim Asamoah bere tenten.,2,I have known Asamoah for years.,2,I have known Asamoah for years.,2,I have known Asamoah for years.,2,I have known Asamoah for years.
29,Mayɛ biribiara a woka kyerɛɛ me no.,1,I have completed all the tasks you gave me.,1,I have completed all the tasks you gave me.,1,I have completed all the tasks you gave me.,1,I have completed all the tasks you gave me.
30,Me botae ne sɛ mɛyɛ ɔkyerɛkyerɛfo.,1,I dream of becoming a teacher.,1,I dream of becoming a teacher.,0,My dream is to become a teacher.,0,My dream is to become a teacher.
31,Me mu reyɛ duru.,1,I am putting on weight.,1,I am putting on weight.,1,I am putting on weight.,1,I am putting on weight.
32,Me nuabarima hwɛ television.,2,My brother is watching television.,2,My brother is watching television.,2,My brother is watching television.,2,My brother is watching television.
33,Me telefon foforo no ye sen me telefon dedaw no.,1,My new phone is slimmer than my old one.,1,My new phone is slimmer than my old one.,1,My new phone is slimmer than my old one.,1,My new phone is slimmer than my old one.
34,Me yere nsɔre m'anim.,2,She never gets up ahead of me.,2,She never gets up ahead of me.,2,She never gets up ahead of me.,2,She never gets up ahead of me.
35,"Mebɔɔ mmɔden mprenu, nanso emu biara anyɛ yiye.",1,I made two attempts but both failed.,1,I made two attempts but both failed.,1,I made two attempts but both failed.,2,I tried two times but it did not work either time.
36,Mede nsu hyɛɛ kuku bi mu ma.,2,I filled up a vase with water.,1,I put water in a vase.,2,I filled up a vase with water.,2,I filled up a vase with water.
37,Medɔ wo paa.,1,I really love you.,3,I love you a lot.,1,I really love you.,1,I really love you.
38,Megyina w'akyi wɔ ahohia bere mu.,1,I will support you in difficult times.,1,I will support you in difficult times.,1,I will support you in difficult times.,1,I will support you in difficult times.
39,Meka ɛno ho asɛm kyerɛ wo.,1,I promise you that.,2,I assure you of that.,2,I assure you of that.,2,I assure you of that.
40,Mekaa hwee kyerɛɛ wɔn.,2,I said nothing to them.,2,I said nothing to them.,1,I didnt tell them anything.,1,I didnt tell them anything.
41,Mekɔɔ adidibea hɔ kodii awia.,1,I came into the restaurant and had my lunch.,2,I went into the restaurant and ate lunch.,2,I went into the restaurant and ate lunch.,2,I went into the restaurant and ate lunch.
42,"Mepɛ mmuae tee, nanso biribiara nni hɔ bio.",1," I just want a clear answer, nothing else.",1," I just want a clear answer, nothing else.",1," I just want a clear answer, nothing else.",1," I just want a clear answer, nothing else."
43,Mepɛ sɛ meyɛ obi a ɔhwehwɛ nneɛma mu.,1,My ambition is to be an actress.,1,My ambition is to be an actress.,2,I hope to pursue a career as an actress.,2,I hope to pursue a career as an actress.
44,Mepɛ sɛ migye wo sika.,1,I would like to employ you.,1,I would like to employ you.,1,I would like to employ you.,1,I would like to employ you.
45,Mepɛ sɛ wo ne me san ba.,1,I would like you to come back with me.,1,I would like you to come back with me.,1,I would like you to come back with me.,1,I would like you to come back with me.
46,Mepɛ sɛ wosan susuw gyinae a woasi no ho.,2,I would like you to think about your decision again.,2,I would like you to think about your decision again.,2,I would like you to think about your decision again.,2,I would like you to think about your decision again.
47,Merenyɛ saa nnɛ.,1,I don't feel like going out today.,1,I don't feel like going out today.,1,I don't feel like going out today.,2,I don't want to go out today.
48,Mewɔ mmirikatufo nan na ɛyɛ me yaw yiye.,1,I have athlete's foot and it itches badly.,1,I have athlete's foot and it itches badly.,1,I have athlete's foot and it itches badly.,1,I have athlete's foot and it itches badly.
49,Meyɛ aso tie asɛm yiye.,1,I am paying close attention.,1,I am paying close attention.,1,I am paying close attention.,1,I am paying close attention.
50,Mfutuma akata ɔpon no so.,1,The desk is dusty.,1,The desk is dusty.,2,The desk is coated in dust.,2,The desk is coated in dust.
51,Mifii ase tee nea enti a wonhaw wo ho sɛ wobɛkyerɛkyerɛ nneɛma mu akyerɛ Noh no ase.,1,I am beginning to realize why you avoid explaining things to Asamoah.,1,I am beginning to realize why you avoid explaining things to Asamoah.,1,I am beginning to realize why you avoid explaining things to Asamoah.,1,I am beginning to realize why you avoid explaining things to Asamoah.
52,Mikyinkyin kakra.,1,I walked around for a bit.,2,I strolled around for a while.,1,I walked around for a bit.,1,I walked around for a bit.
53,Minim sɛ ade biako a yebetumi ayɛ ne anigye.,1,I know one thing we could do that would be enjoyable.,1,I know one thing we could do that would be enjoyable.,1,I know one thing we could do that would be enjoyable.,1,I know one thing we could do that would be enjoyable.
54,Minni sika nnɛ.,1,I dont have any money today.,1,I dont have any money today.,1,I dont have any money today.,1,I dont have any money today.
55,Minni sika pii saa bere no.,3,I dont have sufficient money right now.,3,I dont have sufficient money right now.,3,I dont have sufficient money right now.,3,I dont have sufficient money right now.
56,Minnim bere tenten a saa tebea yi bedi.,2,I am unsure how long this will last.,1,I dont know how long this will continue.,2,I am unsure how long this will last.,2,I am unsure how long this will last.
57,Minnim nipa ko a ɔyɛ.,2,I cant tell what kind of person he is.,2,I cant tell what kind of person he is.,2,I cant tell what kind of person he is.,2,I cant tell what kind of person he is.
58,Misua nnwom.,1,I'm studying music.,1,I'm studying music.,1,I'm studying music.,1,I'm studying music.
59,Mma aboa no kwan mma ɔnkɔ.,1,Keep the cat inside.,2,Dont allow the cat to go out.,2,Dont allow the cat to go out.,2,Dont allow the cat to go out.
60,Mmea ani gye ho saa.,2,Most women enjoy that.,2,Most women enjoy that.,2,Most women enjoy that.,2,Most women enjoy that.
61,Na ɛte sɛ dae bi a abam.,2,It seemed like a dream come true.,2,It seemed like a dream come true.,2,It seemed like a dream come true.,2,It seemed like a dream come true.
62,Nea ɛwɔ he na meyɛ?,1,Which one belongs to me?,1,Which one belongs to me?,1,Which one belongs to me?,1,Which one belongs to me?
63,Nnipa baahe na wɔte wo kurom?,2,How many people live where you live?,2,How many people live where you live?,1,What is the population of your town?,1,What is the population of your town?
64,"Nokwarem no, nsɛm ho amanneɛbɔ Kwame Jackson nyɛ adwuma no so panyin.",1," In fact, Kwame Jackson is not the manager.",1," In fact, Kwame Jackson is not the manager.",1," In fact, Kwame Jackson is not the manager.",1," In fact, Kwame Jackson is not the manager."
65,"Nokwarem no, osu bɛtɔ.",1,It is definitely going to rain.,1,It is definitely going to rain.,1,It is definitely going to rain.,1,It is definitely going to rain.
66,Nsa a wɔnom no ɔha biara mu 5 na ɛwɔ saa aduru yi mu.,2,The alcohol content of this beer is 5%.,2,The alcohol content of this beer is 5%.,2,The alcohol content of this beer is 5%.,2,The alcohol content of this beer is 5%.
67,Nyansahu yɛ den dodo.,2,Science is difficult.,2,Science is difficult.,2,Science is difficult.,2,Science is difficult.
68,Ná Esi yɛ nkɔmmɔbɔ a ɛyɛ anigye.,1,Asamoah talked pleasantly with Esi.,2,He had a friendly chat with Esi.,2,He had a friendly chat with Esi.,2,He had a friendly chat with Esi.
69,Ná adetɔfo foforo biara nni sotɔɔ no mu.,1,The store had no other customers.,1,The store had no other customers.,1,The store had no other customers.,1,The store had no other customers.
70,Ná ayi no ye nnora.,2,The funeral was held yesterday.,2,The funeral was held yesterday.,1,The funeral took place yesterday.,2,The funeral was held yesterday.
71,"Ná misusuw sɛ sɛ Asamoah hwɛ Esi a, n'ani begye papa.",1,I thought Asamoah would be happy to see Esi.,2,I expected Asamoah to be pleased to see Esi.,2,I expected Asamoah to be pleased to see Esi.,1,I thought Asamoah would be happy to see Esi.
72,Ná ne fã adwudwo.,1,He suffered a stroke.,1,He suffered a stroke.,1,He suffered a stroke.,1,He suffered a stroke.
73,"Ná ne ho ye, na na ɔnom nsa.",2,He was happy and intoxicated.,2,He was happy and intoxicated.,2,He was happy and intoxicated.,2,He was happy and intoxicated.
74,Ná onniidi nnanu.,2,It had been two days since he last ate.,2,It had been two days since he last ate.,2,It had been two days since he last ate.,2,It had been two days since he last ate.
75,Ná wosusuw hokwan biara a wobenya ho.,1,They considered every possibility.,1,They considered every possibility.,1,They considered every possibility.,1,They considered every possibility.
76,Ná yɛhwɛ sɛnea asubɔnten no mu dɔ fa.,1,We checked how deep the river was.,1,We checked how deep the river was.,1,We checked how deep the river was.,1,We checked how deep the river was.
77,Ná ɛyɛ bere pa a ɛsɛ sɛ yɛfew ano.,2,The moment was perfect for a kiss.,1,It was the ideal time to kiss.,2,The moment was perfect for a kiss.,1,It was the ideal time to kiss.
78,Obi ho a obekum yɛ adeyɛ a anibere wom.,1,Taking one's own life is an act of desperation.,2,Suicide is an act done out of despair.,1,Taking one's own life is an act of desperation.,1,Taking one's own life is an act of desperation.
79,Obiara anto nsa frɛɛ me sɛ memmra apontow no ase.,1,No one asked me to the party.,1,No one asked me to the party.,0,Nobody invited me to the party.,0,Nobody invited me to the party.
80,"Onyaa ne ti didii mu wɔ akwanhyia bi a esii afe a etwaam no mu, nanso na ɔda so ara de n'ani kyerɛ soro.",1,Last year he survived a crash yet he still drives carelessly.,1,Last year he survived a crash yet he still drives carelessly.,1,Last year he survived a crash yet he still drives carelessly.,1,Last year he survived a crash yet he still drives carelessly.
81,Otuu no fo sɛ ɔnhwɛ yiye paa.,1,He advised her to be more careful.,1,He advised her to be more careful.,1,He advised her to be more careful.,1,He advised her to be more careful.
82,So na wunim sɛ wɔn mu binom te bepɔw yi so?,2,Did you hear that foxes used to live up here?,2,Did you hear that foxes used to live up here?,2,Did you hear that foxes used to live up here?,2,Did you hear that foxes used to live up here?
83,So wo kraman no kyerɛ biribi?,2,Does your dog bite?,2,Does your dog bite?,2,Does your dog bite?,2,Does your dog bite?
84,So wohyɛɛ no nkuran sɛ ɔnkɔ polisifo hɔ?,1,Did you suggest he go to the police?,1,Did you suggest he go to the police?,1,Did you suggest he go to the police?,1,Did you suggest he go to the police?
85,So wotee nteɛteɛm no?,1,Didn't you hear that scream?,1,Didn't you hear that scream?,1,Didn't you hear that scream?,1,Didn't you hear that scream?
86,So wunim ɔkwan bi a wɔfa so tete akraman?,1,Are you familiar with how to train dogs?,1,Are you familiar with how to train dogs?,1,Are you familiar with how to train dogs?,1,Are you familiar with how to train dogs?
87,So ɛyɛ nokware sɛ na wowɔ TV so besi nnɛ?,2,Is it true you appeared on TV yesterday?,2,Is it true you appeared on TV yesterday?,2,Is it true you appeared on TV yesterday?,2,Is it true you appeared on TV yesterday?
88,"Sɛ ade sa a, na wo ho ntɔ wo.",1,It is best if you dont go after dark.,1,It is best if you dont go after dark.,2,Dont go out after dark.,2,Dont go out after dark.
89,"Sɛ mene wo a, anka menyɛ saa.",3," If I were you, I wouldn't do that.",3," If I were you, I wouldn't do that.",3," If I were you, I wouldn't do that.",3," If I were you, I wouldn't do that."
90,Sɛ obi a onim nyansa yiye te sɛ Asamoah.,2,Asamoah is extremely smart.,2,Asamoah is extremely smart.,2,Asamoah is extremely smart.,2,Asamoah is extremely smart.
91,"Sɛ odu hɔ pɛ a, mɛka akyerɛ no.",1,I will tell him the moment he arrives.,1,I will tell him the moment he arrives.,1,I will tell him the moment he arrives.,0," As soon as he arrives, I'll tell him."
92,"Sɛnea Asamoah ka kyerɛɛ Esi no, ɔkae sɛ ɔmma John kɔfe kuruwa biako.",1,Asamoah told Esi to offer John a cup of coffee.,1,Asamoah told Esi to offer John a cup of coffee.,2,He suggested that Esi give John a cup of coffee.,0," ""Asamoah suggested to Esi that she offer John a cup of coffee."""
93,"Sɛnea mihu no, ɛno ne ɔkwan a eye sen biara.",1," In my opinion, that is the best approach.",1," In my opinion, that is the best approach.",1," In my opinion, that is the best approach.",1," In my opinion, that is the best approach."
94,"Sɛ́ Asamoah no, ɔwɔ dan abien a adan abien wom.",1,Asamoah owns a two-room house.,1,Asamoah owns a two-room house.,2,Asamoah's house has two rooms.,1,Asamoah owns a two-room house.
95,Wasiesie ne ho bere nyinaa.,2,He is always on top of things.,1,He is always ready.,2,He is always on top of things.,1,He is always ready.
96,Wiase no mu hena na wususuw sɛ woyɛ bi?,0,Who in the world do you think you are?,0,Who in the world do you think you are?,0,Who in the world do you think you are?,0,Who in the world do you think you are?
97,"Wokae no, ɛnte saa?",1," You remember him, right?",2," You do remember him, don't you?",2," You do remember him, don't you?",2," You do remember him, don't you?"
98,Woyɛ nea wubetumi biara.,1,Do what you are able to do.,0,You do what you can.,1,Do what you are able to do.,0,You do what you can.
99,Wuhuu sɛnea wɔn fie no sõ fa?,2,Have you seen how big their house is?,2,Have you seen how big their house is?,2,Have you seen how big their house is?,2,Have you seen how big their house is?
100,Wususuw ho dɛn ankasa?,1,What is your honest opinion?,1,What is your honest opinion?,1,What is your honest opinion?,1,What is your honest opinion?
101,Wɔasi gyinae sɛ wɔbɛbɛn saa adwinnan no.,1,They have made the decision to shut down that factory.,1,They have made the decision to shut down that factory.,1,They have made the decision to shut down that factory.,1,They have made the decision to shut down that factory.
102,Wɔfrɛɛ me wɔ telefon so bere a na merema aduan awia no.,2,I was having lunch when the phone rang.,1," While I was having lunch, the phone rang.",2,I was having lunch when the phone rang.,2,I was having lunch when the phone rang.
103,Wɔkyerɛ sɛ asase so hyew a ayɛ no fi carbon dioxide ankasa.,1,They say global warming is caused by carbon dioxide emissions.,1,They say global warming is caused by carbon dioxide emissions.,1,They say global warming is caused by carbon dioxide emissions.,1,They say global warming is caused by carbon dioxide emissions.
104,Wɔyɛ mmofra pa.,1,They are good children.,1,They are good children.,1,They are good children.,1,They are good children.
105,Wɔyɛɛ me sɛ metwɛn mmoro simma 30.,2,They made me wait for over half an hour.,2,They made me wait for over half an hour.,2,They made me wait for over half an hour.,2,They made me wait for over half an hour.
106,Yesua honam fam nyansahu.,1,We are learning physical science.,1,We are learning physical science.,1,We are learning physical science.,1,We are learning physical science.
107,Yɛhwɛ kwan sɛ ɔbɛboa yɛn.,1,We hope he will help us.,1,We hope he will help us.,1,We hope he will help us.,1,We hope he will help us.
108,Yɛn kyerɛkyerɛfo no ma yenya sukuu dwumadi pii.,2,We get a lot of homework from our teacher.,2,We get a lot of homework from our teacher.,0,Our teacher gives us a lot of homework.,2,We get a lot of homework from our teacher.
109,Yɛsrɛ sɛ fa wo tekiti wɔ ɔpon no ano.,2," Pick up your ticket from the counter, please.",2," Pick up your ticket from the counter, please.",2," Pick up your ticket from the counter, please.",2," Pick up your ticket from the counter, please."
110,Ɔbea bi a ne mfe akɔ anim ka kyerɛɛ Asamoah sɛ ɔte sɛ Charles Darwin.,1,An elderly woman told Asamoah he resembled Charles Darwin.,1,An elderly woman told Asamoah he resembled Charles Darwin.,1,An elderly woman told Asamoah he resembled Charles Darwin.,1,An elderly woman told Asamoah he resembled Charles Darwin.
111,Ɔbɛsan aba nnansa yi ara.,2,It wont be long before she comes back.,2,It wont be long before she comes back.,1,She will return soon.,2,It wont be long before she comes back.
112,Ɔfew n'ano.,1,He kissed her.,1,He kissed her.,1,He kissed her.,1,He kissed her.
113,Ɔkyerɛkyerɛfo akatua nnu mmaranimfo de ara kwa.,1,Teachers earn less than lawyers.,2,A teacher's pay is lower than a lawyer's.,2,A teacher's pay is lower than a lawyer's.,2,A teacher's pay is lower than a lawyer's.
114,Ɔkɔm rekum yɛn.,2,We are really hungry.,2,We are really hungry.,1,We are famished.,2,We are really hungry.
115,Ɔkɔɔ so sɔɔ no hwɛe.,1,He continued his experiment.,1,He continued his experiment.,1,He continued his experiment.,1,He continued his experiment.
116,Ɔmaa me nsa kaa ne kyerɛwtohɔ ahorow.,1,She allowed me to see her records.,1,She allowed me to see her records.,1,She allowed me to see her records.,1,She allowed me to see her records.
117,Ɔtoo dwom yiye araa ma ɛyɛ den sɛ obi betumi ate nusu.,1,He sings so beautifully it is hard not to cry.,1,He sings so beautifully it is hard not to cry.,1,He sings so beautifully it is hard not to cry.,1,He sings so beautifully it is hard not to cry.
118,Ɔwɔ sakre.,1,She owns a bicycle.,1,She owns a bicycle.,1,She owns a bicycle.,2,She has a bike.
119,Ɔwɔ suban pa ankasa.,1,She has a nice body shape.,1,She has a nice body shape.,1,She has a nice body shape.,1,She has a nice body shape.
120,Ɔyɛ me babea a meso no dae.,1,She is the girl of my dreams.,1,She is the girl of my dreams.,1,She is the girl of my dreams.,1,She is the girl of my dreams.
121,Ɔyɛ yɔnko a n'asɛm yɛ mmɔbɔ.,1,He is not a nice person.,2,He is raher disagreeable.,2,He is raher disagreeable.,2,He is raher disagreeable.
122,Ɛhaw me yiye.,1,I am heartbroken.,1,I am heartbroken.,1,I am heartbroken.,1,I am heartbroken.
123,Ɛno yɛ anigyesɛm ma me.,1,That is great news for me.,1,That is great news for me.,1,That is great news for me.,0,That's good news to me.
124,Ɛsɛ sɛ mekɔ nnɛyi nhyiam.,1,I ought to have attended yesterday's meeting.,1,I ought to have attended yesterday's meeting.,1,I ought to have attended yesterday's meeting.,1,I ought to have attended yesterday's meeting.
125,Ɛsɛ sɛ mekɔ so tra hɔ.,2,I need to keep going.,2,I need to keep going.,2,I need to keep going.,2,I need to keep going.
126,Ɛsɛ sɛ yehu akokoaa foforo bi a wɔawo no foforo.,2,It is necessary we find another babysitter.,2,It is necessary we find another babysitter.,2,It is necessary we find another babysitter.,2,It is necessary we find another babysitter.
127,Ɛsɛ sɛ yɛma yɛn ani da hɔ.,1,We have to stay alert.,2,We must keep our eyes open.,1,We have to stay alert.,2,We must keep our eyes open.
128,Ɛyɛ nwonwa sɛ ebetumi aba saa.,1,How could this be possible?,1,How could this be possible?,1,How could this be possible?,0,One wonders how it's possible.
129,Ɛyɛ nwonwa yiye.,1,It is truly amazing.,1,It is truly amazing.,1,It is truly amazing.,1,It is truly amazing.
130,Ɛyɛ pɛ!,2,Exactly!,2,Exactly!,2,Exactly!,2,Exactly!
131,ɔyarehwɛfo no bɛkyerɛ wo ɔkwan a wobɛfa so ayɛ saa.,1,The nurse will explain the procedure to you.,1,The nurse will explain the procedure to you.,1,The nurse will explain the procedure to you.,1,The nurse will explain the procedure to you.
